"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMC","ACMC_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSC","ACSC_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00024018","1915-01-11","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   83",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-12","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  111",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-13","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   22",",,0","  -78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-14","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   61",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-15","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    3",",,0","    0","T,,0",,,"  -17",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-16","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    3",",,0",,,"  -72",",,0"," -144",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-17","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  -44",",,0"," -122",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-18","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0","T,,0","    0","T,,0",,,"   11",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-19","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   39",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-20","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   67",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-21","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    8",",,0","   13",",,0",,,"   11",",,0"," -200",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-22","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0","T,,0",,," -128",",,0"," -228",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-23","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  -11",",,0"," -161",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-24","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   11",",,0"," -178",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-25","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   17",",,0"," -183",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-26","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   22",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-27","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0","T,,0","    0","T,,0",,,"   11",",,0"," -194",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-28","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   78",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-29","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   61",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-30","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0","T,,0","    0","T,,0",,,"   50",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-01-31","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    5",",,0","    5",",,0",,,"  -11",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-01","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   44",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-02","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   83",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-03","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0","T,,0","    0",",,0",,,"   56",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-04","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0","T,,0",,,"  -11",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-05","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  -17",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-06","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   83",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-07","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  133",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-08","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  150",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-09","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  133",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-10","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  156",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-11","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   89",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-12","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","  132",",,0","  109",",,0",,,"  -22",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-13","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   20",",,0","   53",",,0",,,"   11",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-14","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   -6",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-15","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   61",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-16","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"  117",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-17","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   83",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-18","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   72",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-19","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   56",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-20","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   10",",,0","    3",",,0",,,"    0",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-21","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   61",",,0","   56",",,0",,,"  -22",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-22","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   10",",,0","   18",",,0",,,"  -33",",,0"," -100",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-23","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   22",",,0"," -100",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-24","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   39",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-25","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   50",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-26","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    8",",,0","    0","T,,0",,,"   28",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-27","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    5",",,0","   10",",,0",,,"  -11",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-02-28","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0",",,0","    0",",,0",,,"   61",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-03-01","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","    0","T,,0","    0",",,0",,,"   39",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-03-02","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   10",",,0","    5",",,0",,,"  -33",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024018","1915-03-03","41.15788","-104.80814","1864.8","CHEYENNE WSFO AIRPORT, WY US","   20",",,0","   20",",,0",,,"  -39",",,0"," -117",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
