"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014933","1945-07-11","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  267",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-12","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    3",",,X,2400","    0",",,X",,,"  300",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-13","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  289",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-14","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    5",",,X,2400","    0",",,X",,,"  261",",,X","  172",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-15","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  283",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-16","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","  112",",,X,2400","    0",",,X",,,"  239",",,X","  156",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-17","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  267",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-18","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  289",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-19","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  311",",,X","  183",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-20","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  322",",,X","  217",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-21","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  344",",,X","  239",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-22","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  383",",,X","  233",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-23","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","  107",",,X,2400","    0",",,X",,,"  306",",,X","  200",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-24","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  339",",,X","  239",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-25","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  311",",,X","  211",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-26","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  306",",,X","  178",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-27","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  317",",,X","  172",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-28","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  239",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-29","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  283",",,X","  144",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-07-30","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","  218",",,X,2400","    0",",,X",,,"  306",",,X","  189",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-07-31","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  344",",,X","  233",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-01","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    8",",,X,2400","    0",",,X",,,"  333",",,X","  244",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-02","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","  155",",,X,2400","    0",",,X",,,"  261",",,X","  183",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-03","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  283",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-04","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","  135",",,X,2400","    0",",,X",,,"  250",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-05","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","   48",",,X,2400","    0",",,X",,,"  261",",,X","  194",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-06","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  267",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-07","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  239",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-08","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  267",",,X","  133",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-09","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  267",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-10","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","   10",",,X,2400","    0",",,X",,,"  233",",,X","  172",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-11","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  283",",,X","  183",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-12","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  300",",,X","  178",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-13","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  306",",,X","  189",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-14","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  261",",,X","  178",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-15","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  267",",,X","  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-16","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","   41",",,X,2400","    0",",,X",,,"  289",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-17","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  333",",,X","  172",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-18","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  317",",,X","  172",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-19","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  322",",,X","  194",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-20","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  328",",,X","  200",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-21","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  356",",,X","  156",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-22","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  244",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-23","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  239",",,X","  128",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-24","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  289",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-25","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  233",",,X","  128",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-26","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  300",",,X","  144",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-27","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  333",",,X","  194",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-28","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  350",",,X","  239",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-29","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0","T,,X,2400","    0",",,X",,,"  344",",,X","  222",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00014933","1945-08-30","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  356",",,X","  211",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014933","1945-08-31","41.53395","-93.65313","286.3","DES MOINES INTERNATIONAL AIRPORT, IA US","    0",",,X,2400","    0",",,X",,,"  339",",,X","  217",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
